second,sample_count,avg_latency_ms,p50_ms,p95_ms,p99_ms,max_ms,direct_avg_ms
18,120,36035,35611,37124,37181,37182,2647
19,121,36050,35611,37124,37182,37856,2564
20,121,36050,35611,37124,37182,37856,2485
21,343,38101,38626,40367,40409,40558,2428
22,615,39263,39859,41613,41740,41762,2359
23,1197,39707,40033,41679,41750,41813,2307
24,1965,40310,40464,42797,42911,43011,2243
25,2884,40910,41045,43835,44436,44654,2170
26,3804,41360,41564,44422,44943,45090,2102
27,4658,41296,41554,43933,44917,45090,2043
28,5373,41404,41588,44357,44907,45090,1995
29,6314,41624,41708,44672,45267,45481,1937
30,7281,41643,41692,44663,45255,45481,1879
31,8071,41633,41674,44619,45247,45481,1835
32,8889,41708,41725,44617,45221,45481,1792
33,9853,41779,41846,44597,45217,45481,1743
34,10835,41731,41816,44566,45200,45481,1696
35,11526,41803,41947,44551,45146,45481,1664
36,12250,41883,42038,44579,45145,45481,1632
37,13121,41957,42126,44653,45134,45481,1596
38,14115,41985,42128,44702,45216,46442,1556
39,14896,42090,42206,44817,45372,46442,1525
40,15698,42180,42347,44902,45517,46442,1496
