second,raw_count,raw_bytes,event_count,event_bytes,grid_count,grid_bytes,raw_total,event_total,grid_total
1,18000,97456185,198033,9504017,0,0,18000,198035,0
2,2000,10831623,727,35137,13040,430320,20000,198760,13040
3,0,0,1046,50432,0,0,20000,199806,13040
4,2000,10826010,693,33384,200,6600,22000,200499,13240
5,2000,10836544,802,38676,100,3300,24000,201301,13340
6,2000,10827473,796,38473,0,0,26000,202099,13340
7,625,3384548,997,48157,0,0,26641,203094,13340
8,1375,7448115,772,37257,200,6600,28000,203866,13540
9,2000,10821460,819,39559,0,0,30000,204685,13540
10,2000,10828173,799,38561,0,0,32000,205485,13540
11,1119,6054176,900,43427,200,6600,33119,206384,13740
12,881,4772869,859,41492,103,3399,34000,207243,13843
13,2000,10832332,780,37681,97,3201,36000,208024,13940
14,2000,10829225,719,34726,0,0,38000,208742,13940
15,1321,7155974,770,37234,39,1287,39321,209512,13979
16,679,3673470,975,47100,261,8613,40000,210487,14240
